Season,School,Conference,G,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OppDP,CS,Picked,SB,IBB,
2021,Southeastern La.,Southland,36,0.279,0.409,259,"1,154",322,62,6,462,22,233,188,79,20,20,264,31,19,7,86,3,
2021,Southern California,Pac-12,31,0.259,0.346,156,"1,022",265,42,9,415,30,146,115,26,9,16,218,24,13,2,26,4,
2021,Southern Ill.,MVC,34,0.307,0.406,281,"1,161",357,68,9,605,54,258,163,45,22,4,243,24,12,2,47,3,
2021,Southern Miss.,C-USA,35,0.251,0.36,201,"1,105",277,62,9,480,41,185,158,38,12,12,271,25,3,1,18,4,
2021,Southern U.,SWAC,32,0.248,0.362,159,"1,067",265,53,6,393,21,142,142,53,10,12,296,24,19,8,59,1,
2021,St. Bonaventure,Atlantic 10,17,0.245,0.339,72,526,129,27,3,180,6,65,63,14,4,1,152,9,2,,6,2,
2021,St. John's (NY),Big East,21,0.241,0.378,122,672,162,37,5,245,12,108,116,35,4,5,179,15,7,2,24,,
2021,Stanford,Pac-12,29,0.293,0.387,206,"1,011",296,55,1,494,47,194,132,30,10,7,244,24,8,5,34,7,
2021,Stetson,ASUN,33,0.266,0.363,215,"1,115",297,61,8,461,29,191,140,38,14,9,267,24,6,4,27,3,
2021,Stony Brook,America East,27,0.258,0.361,157,819,211,47,4,314,16,138,106,33,11,14,176,8,9,4,51,7,
2021,Tarleton St.,WAC,39,0.262,0.355,210,"1,261",331,61,5,504,34,189,148,41,13,16,340,30,11,3,34,,
2021,TCU,Big 12,36,0.296,0.414,304,"1,231",364,70,17,606,46,284,213,46,16,3,298,18,13,7,74,4,
2021,Tennessee,SEC,38,0.263,0.384,262,"1,285",338,73,11,568,45,240,219,47,21,14,337,19,11,4,45,7,
2021,Tennessee Tech,OVC,29,0.259,0.357,151,934,242,46,4,386,30,140,109,37,8,16,257,32,20,6,43,,
2021,Texas,Big 12,39,0.29,0.4,280,"1,293",375,83,7,589,39,266,208,42,19,28,316,19,14,2,58,4,
2021,Texas A&M,SEC,39,0.264,0.374,250,"1,299",343,52,8,555,48,223,204,36,21,11,350,22,10,3,45,1,
2021,Texas Southern,SWAC,35,0.234,0.355,170,"1,098",257,50,5,359,14,149,163,50,12,18,326,25,19,8,59,7,
2021,Texas St.,Sun Belt,38,0.252,0.348,185,"1,255",316,67,11,504,33,165,161,31,14,15,311,23,7,6,24,3,
2021,Texas Tech,Big 12,34,0.288,0.413,275,"1,137",327,70,9,577,54,243,204,50,15,3,323,25,7,4,38,6,
2021,The Citadel,SoCon,32,0.283,0.347,162,"1,106",313,51,6,433,19,138,92,21,8,16,241,25,10,6,35,2,
2021,Toledo,MAC,33,0.276,0.366,202,"1,085",299,70,7,500,39,180,120,40,9,13,330,14,9,1,28,6,
2021,Towson,CAA,35,0.22,0.35,156,"1,108",244,45,4,348,17,130,175,50,7,23,347,22,15,7,52,2,
2021,Troy,Sun Belt,35,0.271,0.358,201,"1,180",320,63,7,511,38,182,137,32,17,13,328,21,13,3,32,2,
2021,Tulane,AAC,30,0.268,0.368,180,"1,013",271,57,9,403,19,162,121,46,10,11,241,22,13,4,42,1,
2021,UAB,C-USA,36,0.244,0.326,184,"1,116",272,43,7,386,19,168,104,40,17,15,244,20,14,7,47,1,
2021,UC Davis,Big West,34,0.247,0.345,138,"1,089",269,51,4,370,14,126,109,59,8,27,243,24,15,9,39,3,
2021,UC Irvine,Big West,33,0.297,0.399,243,"1,113",331,63,15,490,22,224,126,72,16,33,224,25,15,4,33,2,
2021,UC Riverside,Big West,27,0.269,0.334,142,934,251,41,7,339,11,127,59,38,11,10,218,21,9,4,20,2,
2021,UC San Diego,Big West,28,0.248,0.353,144,940,233,45,4,349,21,134,120,39,11,4,277,21,6,3,13,3,
2021,UC Santa Barbara,Big West,34,0.297,0.388,259,"1,170",347,69,11,540,34,242,132,57,22,6,256,27,14,4,50,6,
2021,UCF,AAC,36,0.254,0.371,211,"1,226",312,52,7,495,39,192,182,49,8,11,345,22,20,5,61,5,
2021,UCLA,Pac-12,33,0.296,0.398,254,"1,147",340,60,12,523,33,224,164,41,19,18,233,19,8,3,27,4,
2021,UConn,Big East,28,0.284,0.371,193,985,280,62,8,442,28,181,100,42,12,10,223,14,10,7,35,3,
2021,UIC,Horizon,29,0.272,0.358,159,934,254,43,8,373,20,147,109,26,18,14,238,17,10,1,22,1,
2021,UIW,Southland,32,0.254,0.363,190,"1,035",263,56,13,423,26,175,148,37,13,9,236,24,6,7,19,3,
2021,ULM,Sun Belt,33,0.261,0.347,165,"1,087",284,46,9,405,19,139,118,32,14,34,291,25,16,4,55,2,
2021,UMass Lowell,America East,27,0.243,0.325,129,830,202,46,6,311,17,117,84,20,7,4,190,24,7,5,25,3,
2021,UMBC,America East,24,0.291,0.416,192,749,218,52,7,356,24,169,115,53,11,12,187,9,10,5,50,2,
2021,UNC Asheville,Big South,30,0.251,0.34,161,"1,032",259,37,7,379,23,143,113,30,9,18,240,22,8,3,11,3,
2021,UNC Greensboro,SoCon,35,0.256,0.364,226,"1,174",301,51,11,458,28,201,171,39,19,10,297,12,17,6,47,1,
2021,UNCW,CAA,31,0.276,0.352,184,"1,042",288,46,10,444,30,161,110,16,9,15,261,23,11,2,29,2,
2021,UNLV,Mountain West,21,0.325,0.406,156,751,244,50,7,380,24,145,95,12,7,6,146,21,4,2,13,7,
2021,USC Upstate,Big South,33,0.286,0.378,206,"1,124",321,58,11,446,15,187,119,59,19,18,223,27,7,3,35,,
2021,UT Arlington,Sun Belt,37,0.246,0.338,171,"1,205",296,53,8,452,29,153,147,29,15,15,263,32,16,6,21,1,
2021,UT Martin,OVC,31,0.254,0.337,171,"1,061",269,44,7,441,38,161,111,28,12,11,317,17,9,1,14,1,
2021,Utah,Pac-12,30,0.251,0.351,143,"1,010",254,45,5,339,10,124,118,42,9,11,299,27,7,2,32,,
2021,Utah Valley,WAC,34,0.218,0.291,109,"1,113",243,47,5,357,19,96,89,29,8,5,289,24,4,,10,1,
2021,UTRGV,WAC,34,0.261,0.362,189,"1,065",278,58,6,420,24,176,133,46,17,17,232,20,12,4,18,5,
2021,UTSA,C-USA,30,0.294,0.39,235,"1,016",299,52,4,482,41,206,124,48,20,9,230,21,10,1,21,2,
2021,Valparaiso,MVC,25,0.217,0.303,85,811,176,35,5,260,13,79,74,29,8,8,271,9,7,1,17,,
2021,Vanderbilt,SEC,35,0.306,0.403,264,"1,209",370,79,16,631,50,250,173,31,12,18,318,30,5,7,47,1,
2021,VCU,Atlantic 10,36,0.271,0.386,256,"1,209",328,67,7,529,40,224,166,64,8,21,300,24,13,8,44,9,
2021,Villanova,Big East,20,0.215,0.348,85,628,135,25,10,204,8,79,98,33,6,10,194,9,6,2,20,1,
2021,Virginia,ACC,35,0.24,0.329,174,"1,183",284,55,6,405,18,157,125,36,10,18,259,21,11,,31,3,
2021,Virginia Tech,ACC,33,0.282,0.383,234,"1,144",323,66,7,535,44,213,148,50,20,4,285,26,17,3,29,4,
2021,VMI,SoCon,30,0.267,0.378,163,978,261,30,7,368,21,148,135,42,3,12,275,26,15,7,39,2,
2021,Wagner,NEC,21,0.258,0.351,103,732,189,31,2,263,13,95,88,20,7,3,179,17,13,3,46,,
2021,Wake Forest,ACC,30,0.246,0.346,181,"1,037",255,52,1,447,46,174,136,25,6,4,316,15,8,1,9,7,
2021,Washington,Pac-12,32,0.234,0.312,130,"1,065",249,51,6,360,16,118,92,34,10,16,296,16,7,7,45,2,
2021,Washington St.,Pac-12,31,0.297,0.387,233,"1,098",326,70,9,492,26,211,132,38,14,20,248,23,7,2,9,5,
2021,West Virginia,Big 12,30,0.251,0.347,164,994,249,34,8,386,29,151,130,24,13,5,242,24,13,4,39,4,
2021,Western Caro.,SoCon,30,0.311,0.435,276,"1,047",326,69,4,487,28,241,174,63,11,4,260,25,11,4,36,1,
2021,Western Ill.,Summit League,29,0.234,0.33,123,943,221,36,2,270,3,109,108,29,6,14,227,24,4,2,29,3,
2021,Western Ky.,C-USA,36,0.257,0.361,182,"1,129",290,74,3,436,22,161,139,53,14,9,309,27,13,2,28,6,
2021,Western Mich.,MAC,26,0.275,0.374,134,815,224,50,4,339,19,116,100,34,7,16,229,16,11,2,23,3,
2021,Wichita St.,AAC,31,0.279,0.359,205,"1,058",295,57,11,452,26,186,113,26,11,9,232,21,4,4,38,3,
2021,William & Mary,CAA,27,0.229,0.316,120,896,205,43,11,318,16,111,100,19,10,9,245,14,10,2,31,2,
2021,Winthrop,Big South,27,0.275,0.374,145,923,254,48,4,331,7,124,138,18,16,16,232,23,12,10,27,5,
2021,Wofford,SoCon,35,0.286,0.399,239,"1,133",324,67,3,445,16,194,181,44,17,28,262,26,18,7,86,5,
2021,Wright St.,Horizon,24,0.297,0.413,193,806,239,46,8,391,30,174,152,15,11,6,197,10,9,7,29,5,
2021,Xavier,Big East,29,0.254,0.361,180,938,238,51,5,386,29,161,128,32,6,10,275,14,14,2,25,2,
2021,Youngstown St.,Horizon,35,0.287,0.367,217,"1,155",331,50,12,495,30,201,131,28,21,17,259,22,18,9,51,3,
2020,A&M-Corpus Christi,Southland,18,0.244,0.339,69,586,143,20,5,188,5,59,70,16,3,8,120,17,14,,25,1,
